Sample;Name;Group;Type;Water;Experiment;SampleOrder;Time;Temperature;pH;EC;ORP;H2;H2O2;qPCR_Count;qPCR_StdDev
t0_1;t0;t0;Initial;Unfiltered;Initial;1;0;18.3;9.29;449;-132.8;;-0.5837;7.65E+03;9.05E+02
t0_2;t0;t0;Initial;Unfiltered;Initial;32;1;18.2;9.3;446;-130;;-0.703466667;6.93E+03;4.95E+03
t0_3;t0;t0;Initial;Unfiltered;Initial;63;2;18.2;9.2;444;-129;;-1.039066667;6.16E+03;2.09E+02
G1_1;Glass_24hr;G1;Glass;Unfiltered;Glass;37;24;21.3;9.77;502;-152.4;-0.2;0.2496;3.99E+04;7.45E+03
G1_2;Glass_24hr;G1;Glass;Unfiltered;Glass;62;24;21.4;9.68;486;-149.7;-0.2;0.194266667;1.62E+04;1.12E+03
G1_3;Glass_24hr;G1;Glass;Unfiltered;Glass;42;24;21.7;9.71;503;-152.2;-0.3;0.021166667;2.14E+04;2.42E+02
G2_1;Glass_48hr;G2;Glass;Unfiltered;Glass;47;48;20.9;9.82;501;-157;-0.5;-0.24;1.68E+04;9.18E+02
G2_2;Glass_48hr;G2;Glass;Unfiltered;Glass;4;48;21.2;9.86;545;-160.5;-0.4;-0.23;1.77E+04;5.48E+02
G2_3;Glass_48hr;G2;Glass;Unfiltered;Glass;58;48;21;9.78;495;-154;-0.48;-0.21;5.19E+04;6.16E+03
G3_1;Glass_96hr;G3;Glass;Unfiltered;Glass;40;96;21;10;549;-161.2;3.8;0.174133333;8.32E+04;5.03E+03
G3_2;Glass_96hr;G3;Glass;Unfiltered;Glass;28;96;21;10.01;528;-162.8;2.95;0.332933333;6.70E+04;3.22E+03
G3_3;Glass_96hr;G3;Glass;Unfiltered;Glass;24;96;21;10;584;-162.2;4;0.250566667;1.06E+05;4.79E+03
G4_1;Glass_168hr;G4;Glass;Unfiltered;Glass;41;168;20.6;10.05;550;-166.8;-0.04;-0.124466667;1.46E+05;1.66E+04
G4_2;Glass_168hr;G4;Glass;Unfiltered;Glass;5;168;20.4;10.06;601;-168.5;-0.12;-0.0712;3.21E+05;1.73E+04
G4_3;Glass_168hr;G4;Glass;Unfiltered;Glass;35;168;20.6;10.03;538;-166.5;-0.02;-0.2167;2.33E+04;2.00E+03
G5_1;Glass_240hr;G5;Glass;Unfiltered;Glass;18;240;20.9;10.1;563;-170.6;-0.2;0.257533333;8.12E+04;3.25E+03
G5_2;Glass_240hr;G5;Glass;Unfiltered;Glass;33;240;20.8;10.12;566;-170.9;-0.01;0.156266667;1.38E+05;8.05E+03
G5_3;Glass_240hr;G5;Glass;Unfiltered;Glass;60;240;20.7;10.11;542;-167.9;-0.23;0.164266667;1.63E+05;1.33E+04
TAn1_1;RockAnoxic_24hr;TAn1;Rock;Unfiltered;RockAnoxic;38;24;21.3;9.41;490;-127;-0.07;0.827433333;2.29E+03;6.84E+01
TAn1_2;RockAnoxic_24hr;TAn1;Rock;Unfiltered;RockAnoxic;44;24;21.3;9.3;489;-124.2;-0.26;0.9232;2.09E+03;1.66E+02
TAn1_3;RockAnoxic_24hr;TAn1;Rock;Unfiltered;RockAnoxic;11;24;21.1;9.4;486;-124.5;-0.28;0.269433333;9.77E+02;2.91E+01
TAn2_1;RockAnoxic_48hr;TAn2;Rock;Unfiltered;RockAnoxic;50;48;20.9;9.29;482;-127.4;-0.52;-0.04;3.88E+02;4.83E+00
TAn2_2;RockAnoxic_48hr;TAn2;Rock;Unfiltered;RockAnoxic;31;48;21.1;9.26;484;-125.5;-0.45;0.038233333;1.05E+03;1.30E+01
TAn2_3;RockAnoxic_48hr;TAn2;Rock;Unfiltered;RockAnoxic;8;48;20.2;9.28;494;-127;-0.47;0.150533333;1.55E+03;6.63E+01
TAn3_1;RockAnoxic_96hr;TAn3;Rock;Unfiltered;RockAnoxic;22;96;20.7;9.43;520;-129;4.1;0.107366667;4.94E+03;1.72E+02
